Event,Event_Group,Event_Type,Proposition,Main_Category,Simplified_Page_URL,Count,Event_Type_Count
Add_to_Cart,Basic,Cart Actions,add_to_cart (Added to Cart),Cart,inne/do_koszyka_ilosc.php,1175,1672
Add_to_Cart,Basic,Cart Actions,add_to_cart (Added to Cart),Javascript,javascript/koszyk.php,382,1672
Add_to_Cart,Basic,Cart Actions,add_to_cart (Added to Cart),Info,inne/usun_z_koszyka.php,73,1672
Add_to_Cart,Basic,Cart Actions,add_to_cart (Added to Cart),Zarzadzanie,zarzadzanie/ajax/koszyk.php,42,1672
Other_Action,Refined,Other,other_action (Other Action),Javascript,javascript/skrypty.php,12371,35061
Other_Action,Refined,Other,other_action (Other Action),Szablony,szablony/shop_11.rwd/css/style.php,6857,35061
Other_Action,Refined,Other,other_action (Other Action),Info,inne/obrazek.php,5125,35061
Other_Action,Refined,Other,other_action (Other Action),Zarzadzanie,zarzadzanie/ajax/zamowienie_szczegoly.php,3446,35061
Other_Action,Refined,Other,other_action (Other Action),Favicon.ico,favicon.ico,2053,35061
Other_Action,Refined,Other,other_action (Other Action),C-272_312.html,c-272_312,468,35061
Other_Action,Refined,Other,other_action (Other Action),Images,images/mini/100px_image191.jpeg,421,35061
Other_Action,Refined,Other,other_action (Other Action),Szukaj.html,szukaj,278,35061
Other_Action,Refined,Other,other_action (Other Action),C-272.html,c-272,264,35061
Other_Action,Refined,Other,other_action (Other Action),C-62.html,c-62,253,35061
Other_Action,Refined,Other,other_action (Other Action),Other,,196,35061
Other_Action,Refined,Other,other_action (Other Action),C-317.html,c-317,120,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienie-potwierdzenie.html,zamowienie-potwierdzenie,120,35061
Other_Action,Refined,Other,other_action (Other Action),Webserwis,"webserwis/plik,4.htm",106,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienie-logowanie.html,zamowienie-logowanie,96,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienie-podsumowanie.html,zamowienie-podsumowanie,84,35061
Other_Action,Refined,Other,other_action (Other Action),C-66.html,c-66,78,35061
Other_Action,Refined,Other,other_action (Other Action),C-24.html,c-24,73,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_71.html,c-66_71,67,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_73.html,c-66_73,67,35061
Other_Action,Refined,Other,other_action (Other Action),C-35.html,c-35,65,35061
Other_Action,Refined,Other,other_action (Other Action),C-272_311.html,c-272_311,61,35061
Other_Action,Refined,Other,other_action (Other Action),C-35_314.html,c-35_314,61,35061
Other_Action,Refined,Other,other_action (Other Action),Polecane.html,polecane,60,35061
Other_Action,Refined,Other,other_action (Other Action),C-78_359.html,c-78_359,57,35061
Other_Action,Refined,Other,other_action (Other Action),Informacje-o-dostawie.html,informacje-o-dostawie,56,35061
Other_Action,Refined,Other,other_action (Other Action),C-28.html,c-28,51,35061
Other_Action,Refined,Other,other_action (Other Action),C-280.html,c-280,51,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_309.html,c-66_309,51,35061
Other_Action,Refined,Other,other_action (Other Action),Kontakt.html,kontakt,50,35061
Other_Action,Refined,Other,other_action (Other Action),Nowosci.html,nowosci,50,35061
Other_Action,Refined,Other,other_action (Other Action),C-21.html,c-21,49,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_83.html,c-66_83,47,35061
Other_Action,Refined,Other,other_action (Other Action),C-30.html,c-30,45,35061
Other_Action,Refined,Other,other_action (Other Action),C-61.html,c-61,43,35061
Other_Action,Refined,Other,other_action (Other Action),C-78.html,c-78,43,35061
Other_Action,Refined,Other,other_action (Other Action),Moduly,moduly/platnosc/raporty/przelewy24/raport.php,41,35061
Other_Action,Refined,Other,other_action (Other Action),Hity.html,hity,39,35061
Other_Action,Refined,Other,other_action (Other Action),C-35_313.html,c-35_313,37,35061
Other_Action,Refined,Other,other_action (Other Action),C-28_306.html,c-28_306,35,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_330.html,c-317_330,35,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_82.html,c-66_82,35,35061
Other_Action,Refined,Other,other_action (Other Action),C-28_290.html,c-28_290,34,35061
Other_Action,Refined,Other,other_action (Other Action),Platnosc_koniec.php,platnosc_koniec.php,34,35061
Other_Action,Refined,Other,other_action (Other Action),C-33.html,c-33,33,35061
Other_Action,Refined,Other,other_action (Other Action),C-34.html,c-34,32,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_319.html,c-317_319,30,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_199.html,c-24_199,29,35061
Other_Action,Refined,Other,other_action (Other Action),Promocje.html,promocje,28,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_205.html,c-24_205,27,35061
Other_Action,Refined,Other,other_action (Other Action),C-62_284.html,c-62_284,27,35061
Other_Action,Refined,Other,other_action (Other Action),C-60.html,c-60,26,35061
Other_Action,Refined,Other,other_action (Other Action),C-61_340.html,c-61_340,24,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_274.html,c-66_274,24,35061
Other_Action,Refined,Other,other_action (Other Action),Cgi-local,cgi-local/Bnbform.cgi,24,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_58.html,c-30_58,23,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_204.html,c-24_204,21,35061
Other_Action,Refined,Other,other_action (Other Action),C-28_289.html,c-28_289,21,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_77.html,c-66_77,21,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_209.html,c-24_209,20,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_207.html,c-24_207,19,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_81.html,c-30_81,19,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_91.html,c-66_91,18,35061
Other_Action,Refined,Other,other_action (Other Action),Logowanie.html,logowanie,18,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_102.html,c-66_102,17,35061
Other_Action,Refined,Other,other_action (Other Action),Zamowienie-zmien-dane.html,zamowienie-zmien-dane,17,35061
Other_Action,Refined,Other,other_action (Other Action),C-261.html,c-261,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_36.html,c-30_36,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-30_63.html,c-30_63,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-317_322.html,c-317_322,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-39.html,c-39,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-56.html,c-56,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-66_76.html,c-66_76,16,35061
Other_Action,Refined,Other,other_action (Other Action),C-32.html,c-32,15,35061
Other_Action,Refined,Other,other_action (Other Action),C-24_203.html,c-24_203,14,35061
