Session_ID,Event
1000US_1,['Product_View']
1001PL_1,['Info_Page_View']
1001PL_2,"['Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View']"
1001PL_3,"['Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View']"
1001PL_4,['Product_View']
1001PL_5,"['Other_Action', 'Other_Action', 'Other_Action', 'Other_Action', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View', 'Info_Page_View']"
1002PL_1,['Product_View']
1002PL_2,"['Other_Action', 'Other_Action', 'Other_Action', 'Info_Page_View']"
1006PL_1,"['Product_View', 'Other_Action', 'Other_Action', 'Other_Action']"
1006PL_2,['Info_Page_View']
