Session_ID,Event_Count
1000US_1,1
1001PL_1,1
1001PL_2,9
1001PL_3,108
1001PL_4,1
1001PL_5,34
1002PL_1,1
1002PL_2,4
1006PL_1,4
1006PL_2,1
1008PL_1,1
1008PL_2,6
100PL_1,1
100PL_2,318
100PL_3,485
1012PL_1,1
1012PL_2,12
1017PL_1,1
1017PL_2,4
1019PL_1,1
1019PL_2,485
1019PL_3,1
1019PL_4,80
101PL_1,1
101PL_2,9
101PL_3,1
101PL_4,4
1020PL_1,1
1020PL_2,10
1020PL_3,1
1020PL_4,2
1021PL_1,1
1021PL_2,19
1023PL_1,1
1023PL_2,4
1024PL_1,1
1024PL_2,26
1027PL_1,1
1027PL_2,3
1027PL_3,1
1027PL_4,1
1027PL_5,1
1027PL_6,4
1027PL_7,1
1034PL_1,1
1034PL_2,36
1034PL_3,54
1034PL_4,20
1037PL_1,1
1037PL_10,5
1037PL_11,1
1037PL_12,2
1037PL_2,3
1037PL_3,1
1037PL_4,8
1037PL_5,1
1037PL_6,5
1037PL_7,1
1037PL_8,5
1037PL_9,1
1038PL_1,1
1038PL_2,113
103PL_1,1
103PL_2,9
103PL_3,1
103PL_4,17
103PL_5,1
1040PL_1,1
1040PL_2,3
1040PL_3,1
1040PL_4,4
1040PL_5,1
1040PL_6,1
1040PL_7,9
1045PL_1,1
1045PL_2,5
1046PL_1,1
1046PL_2,7
1047PL_1,80
1048PL_1,1
1048PL_2,11
1048PL_3,1
1048PL_4,10
1048PL_5,1
1048PL_6,5
1049PL_1,1
1049PL_2,5
104PL_1,1
104PL_2,5
104PL_3,1
104PL_4,5
104PL_5,1
104PL_6,2
1051PL_1,1
1051PL_2,5
1052PL_1,1
1052PL_2,4
1052PL_3,1
1052PL_4,3
1053PL_1,1
1053PL_2,26
1053PL_3,1
1053PL_4,2
1054PL_1,1
1054PL_2,8
1055PL_1,1
1055PL_2,40
1055PL_3,1
1055PL_4,2
1058PL_1,1
1058PL_2,3
1058PL_3,1
1058PL_4,1
1058PL_5,1
1062US_1,1
1062US_2,1
1063PL_1,1
1063PL_2,6
1064PL_1,1
1064PL_2,5
